TEST#22330	TEST#19781	TEST#20595	TEST#22363	TEST#22369	TEST#22369	TEST#19788
78647	87081	77279	77958	78550	85710	78271
77584	87073	84432	82989	84470	85473	89272
77256	100828	85357	81788	80751	89819	84365
75228	82689	76282	82607	84616	89330	82018
83794	88039	83775	81497	81543	89501	79343
76807	90411	82173	83918	82378	85472	
78345	90602	78207	79909	80561	86104	79290
81167	86324	83163	74467	76233	89682	83055
81085	85046	82836	89719	91278	89053	85427
78419	89236	85830	90404	80061	81028	79858
78049	89859	81900	86387	76914	96610	82915
80108	86579	86188	84653	84579	93825	83085
80854	84344	80867	86421	81841	92354	83142
79772	88595	83246	84503	83937	95576	87667
80832	84016	83581	80730	86610	83943	82272







